	-9.989848	-10.028700	-10.018120	-9.958104	-10.230082	-10.453223	-10.627141	-10.751556	-10.826278	-10.851197	-10.827658	-10.757073	-10.639540	-10.475227	-10.264382	-10.007350	-9.704586	-9.829267	-9.918441	-9.971991	-9.989848	-9.829377	-9.633696	-9.403116	-9.138039	-9.536084	-9.882944	-10.177665	-10.419570	-10.608168	-10.743110	-10.824165	-10.851197
	-9.989819	-9.774921	-9.637811	-9.958075	-9.848642	-9.689976	-9.482315	-9.226000	-8.921479	-8.569346	-8.868978	-9.123427	-9.332197	-9.494919	-9.611325	-9.681240	-9.704586	-9.829238	-9.918411	-9.971962	-9.989819	-9.829340	-9.633649	-9.403059	-9.138039	-9.252686	-9.314299	-9.322714	-9.277890	-9.179889	-9.028896	-8.825222	-8.569346
	-8.855290	-9.269898	-9.511462	-9.200035	-9.217063	-9.185070	-9.104088	-8.974273	-8.795892	-8.569346	-8.868978	-9.123427	-9.332197	-9.494918	-9.611325	-9.681240	-9.704557	-9.544571	-9.349458	-9.119560	-8.855290	-8.978866	-9.067257	-9.120339	-9.138039	-9.252685	-9.314299	-9.322714	-9.277890	-9.179889	-9.028896	-8.825222	-8.569346
	-8.855290	-9.018940	-9.133925	-9.200005	-8.841382	-8.683401	-8.727562	-8.723254	-8.670471	-8.569346	-8.546558	-8.478258	-8.364656	-8.528878	-8.964445	-9.356693	-9.704557	-9.544541	-9.349428	-9.119529	-8.855290	-8.978866	-9.067257	-9.120339	-9.138039	-9.252626	-9.314248	-9.322673	-9.277857	-9.179864	-9.028879	-8.825214	-8.569346
	-8.855260	-8.768544	-8.633474	-8.450416	-8.590911	-8.436490	-7.986671	-8.223199	-8.420103	-8.569325	-8.546537	-8.478237	-8.364635	-8.206112	-8.003214	-7.756838	-7.468354	-7.862575	-8.225963	-8.557185	-8.855260	-8.978844	-9.067242	-9.120332	-9.138039	-8.970646	-8.750944	-8.479529	-8.157223	-7.785137	-7.903788	-8.261893	-8.569325
	-8.855260	-8.519966	-8.262281	-8.450385	-8.219867	-7.942498	-7.979258	-7.974054	-8.295141	-8.569325	-8.225125	-7.837176	-8.051344	-8.206091	-8.003192	-7.756816	-7.468354	-7.862543	-8.225932	-8.557154	-8.855260	-8.978844	-9.067242	-9.120332	-9.138038	-8.970646	-8.750943	-8.479529	-8.157223	-7.785137	-7.903771	-8.261884	-8.569325
	-7.746371	-8.027284	-8.139339	-7.715427	-7.609482	-7.689205	-7.619223	-7.725400	-8.170318	-8.569325	-8.225125	-7.837176	-7.406579	-7.267484	-7.378960	-7.445987	-7.468333	-7.589835	-7.676758	-7.728965	-7.746371	-8.142043	-8.506678	-8.838992	-9.137969	-8.970567	-8.750853	-8.479426	-8.157106	-7.785005	-7.903771	-8.261884	-8.569325
	-7.746225	-7.783815	-7.773465	-7.715281	-7.354388	-7.456462	-7.607089	-7.493694	-6.959980	-6.389012	-6.978383	-7.533676	-7.406579	-7.267484	-7.378960	-7.445987	-7.468333	-7.589687	-7.676612	-7.728819	-7.746225	-8.141923	-8.506578	-8.838909	-9.137969	-8.690142	-8.194408	-7.654058	-7.074774	-7.496284	-7.364785	-6.898335	-6.389012
	-6.641439	-6.799402	-6.911386	-6.976902	-7.251552	-7.195612	-7.256794	-7.251272	-6.840366	-6.389012	-6.671552	-6.913013	-7.111963	-7.267300	-7.378777	-7.445805	-7.468311	-7.312415	-7.122384	-6.898573	-6.641439	-6.223223	-5.779517	-5.314846	-4.836851	-5.426990	-6.000453	-6.541098	-7.041153	-7.496258	-7.364785	-6.898335	-6.389012
	-6.641439	-6.565108	-6.560116	-6.976749	-6.995240	-6.966778	-7.235860	-7.011328	-6.721339	-6.389012	-6.671552	-6.913013	-7.111963	-7.267300	-7.378777	-7.445805	-7.468311	-7.312265	-7.122232	-6.898420	-6.641439	-6.223223	-5.779517	-5.314846	-4.836851	-5.426929	-6.000399	-6.541053	-7.041117	-7.496258	-7.364636	-6.898168	-6.389012
