1 0.250000 0.750000 0.500000
2 0.222222 0.666667 0.444444
3 0.194444 0.583333 0.388889
4 0.166667 0.500000 0.333333
5 0.138889 0.416667 0.277778
6 0.111111 0.333333 0.222222
7 0.083333 0.250000 0.166667
8 0.055556 0.166667 0.111111
9 0.027778 0.083333 0.055556
10 0.000000 0.000000 0.000000
11 0.000000 0.071429 0.071429
12 0.000000 0.142857 0.142857
13 0.000000 0.214286 0.214286
14 0.000000 0.285714 0.285714
15 0.000000 0.357143 0.357143
16 0.000000 0.428571 0.428571
17 0.000000 0.500000 0.500000
18 0.062500 0.562500 0.500000
19 0.125000 0.625000 0.500000
20 0.187500 0.687500 0.500000
21 0.250000 0.750000 0.500000
22 0.312500 0.687500 0.500000
23 0.375000 0.625000 0.500000
24 0.437500 0.562500 0.500000
25 0.500000 0.500000 0.500000
26 0.437500 0.437500 0.437500
27 0.375000 0.375000 0.375000
28 0.312500 0.312500 0.312500
29 0.250000 0.250000 0.250000
30 0.187500 0.187500 0.187500
31 0.125000 0.125000 0.125000
32 0.062500 0.062500 0.062500
33 0.000000 0.000000 0.000000
9.93804
